
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Weiss M.; Ruess R.; Kasnatscheew J.; Levartovsky Y.; Levy N.R.; Minnmann P.; Stolz L.; Waldmann T.; Wohlfahrt-Mehrens M.; Aurbach D.; Winter M.; Ein-Eli Y.; Janek J.,"Weiss, Manuel (56966019100); Ruess, Raffael (57023608300); Kasnatscheew, Johannes (55820638000); Levartovsky, Yehonatan (57192165829); Levy, Natasha Ronith (57203837061); Minnmann, Philip (57193447233); Stolz, Lukas (57214602512); Waldmann, Thomas (56397730100); Wohlfahrt-Mehrens, Margret (55903285200); Aurbach, Doron (35561969600); Winter, Martin (7202442881); Ein-Eli, Yair (7005503352); Janek, Jürgen (56273905300)",56966019100; 57023608300; 55820638000; 57192165829; 57203837061; 57193447233; 57214602512; 56397730100; 55903285200; 35561969600; 7202442881; 7005503352; 56273905300,Fast Charging of Lithium-Ion Batteries: A Review of Materials Aspects,2021,Advanced Energy Materials,11,33,2101126,,,,894,10.1002/aenm.202101126,https://www.scopus.com/pages/publications/85110456168?origin=resultslist,"Fast charging is considered to be a key requirement for widespread economic success of electric vehicles. Current lithium-ion batteries (LIBs) offer high energy density enabling sufficient driving range, but take considerably longer to recharge than traditional vehicles. Multiple properties of the applied anode, cathode, and electrolyte materials influence the fast-charging ability of a battery cell. In this review, the physicochemical basics of different material combinations are considered in detail, identifying the transport of lithium inside the electrodes as the crucial rate-limiting steps for fast-charging. Lithium diffusion within the active materials inherently slows down the charging process and causes high overpotentials. In addition, concentration polarization by slow lithium-ion transport within the electrolyte phase in the porous electrodes also limits the charging rate. Both kinetic effects are responsible for lithium plating observed on graphite anodes. Conclusions drawn from potential and concentration profiles within LIB cells are complemented by extensive literature surveys on anode, cathode, and electrolyte materials—including solid-state batteries. The advantages and disadvantages of typical LIB materials are analyzed, resulting in suggestions for optimum properties on the material and electrode level for fast-charging applications. Finally, limitations on the cell level are discussed briefly as well. © 2021 The Authors. Advanced Energy Materials published by Wiley-VCH GmbH",cell degradation; fast-charging batteries; lithium chemical diffusion; lithium plating; lithium-ion batteries,Anodes; Cathodes; Fast charging (Batteries); Ions; Solid electrolytes; Solid state devices; Solid-State Batteries; Concentration polarization; Concentration profiles; Electrolyte material; High energy densities; Lithium-ion transport; Material combination; Optimum properties; Rate-limiting steps; Lithium-ion batteries,Review,Final,,Scopus,2-s2.0-85110456168

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Zhan R.; Wang X.; Chen Z.; Seh Z.W.; Wang L.; Sun Y.,"Zhan, Renming (57200523990); Wang, Xiancheng (57209308882); Chen, Zihe (57211030017); Seh, Zhi Wei (53264841800); Wang, Li (57196330840); Sun, Yongming (56441824000)",57200523990; 57209308882; 57211030017; 53264841800; 57196330840; 56441824000,Promises and Challenges of the Practical Implementation of Prelithiation in Lithium-Ion Batteries,2021,Advanced Energy Materials,11,35,2101565,,,,279,10.1002/aenm.202101565,https://www.scopus.com/pages/publications/85110075371?origin=resultslist,"Lithium-ion batteries (LIBs) have changed lives since their invention in the early 1990s. Further improvement of their energy density is highly desirable to meet the increasing demands of energy storage applications. Active lithium loss in the initial charge process appreciably reduces the capacity and energy density of LIBs due to the formation of a solid electrolyte interface (SEI) on the anode surface, especially for Si based anodes in high-energy-density batteries. To solve this issue, prelithiation to provide additional active lithium into the battery has been widely accepted as one of the most promising strategies. Here, key parameters/issues for the practical implementation of prelithiation approaches in LIBs are discussed, including donable lithium-ion capacity/prelithiation efficiency, chemical and ambient stability of the prelithiation materials/reagents, safety hazards of prelithiation, residues and side reactions during prelithiation, potential effect on electrochemical performance, industrial compatibility, and scalability of the prelithiation, many of which are often overlooked in academic literature. Moreover, insights are offered regarding the potential future directions in the development of this burgeoning field. Continuous progress in prelithiation is essential and urgent to enable next-generation high-energy-density LIBs in the near future. © 2021 Wiley-VCH GmbH",donable lithium-ion capacity; industrial compatibility; prelithiation; residuals; safety hazards; stability,Accident prevention; Anodes; Chemical hazards; Chemical stability; Energy storage; Ions; Solid electrolytes; Solid-State Batteries; Academic literature; Ambient stability; Electrochemical performance; Energy storage applications; High energy densities; High-energy density batteries; Potential effects; Solid electrolyte interfaces; Lithium-ion batteries,Review,Final,,Scopus,2-s2.0-85110075371

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Huang Y.; Li J.,"Huang, Yimeng (57212409677); Li, Ju (39661162300)",57212409677; 39661162300,Key Challenges for Grid-Scale Lithium-Ion Battery Energy Storage,2022,Advanced Energy Materials,12,48,2202197,,,,195,10.1002/aenm.202202197,https://www.scopus.com/pages/publications/85141941098?origin=resultslist,"A rapid transition in the energy infrastructure is crucial when irreversible damages are happening quickly in the next decade due to global climate change. It is believed that a practical strategy for decarbonization would be 8 h of lithium-ion battery (LIB) electrical energy storage paired with wind/solar energy generation, and using existing fossil fuels facilities as backup. To reach the hundred terawatt-hour scale LIB storage, it is argued that the key challenges are fire safety and recycling, instead of capital cost, battery cycle life, or mining/manufacturing challenges. A short overview of the ongoing innovations in these two directions is provided. © 2022 The Authors. Advanced Energy Materials published by Wiley-VCH GmbH.",battery recycling; fire safety; grid-scale storage,Climate change; Energy storage; Fossil fuels; Fuel storage; Recycling; Battery energy storage; Battery recycling; Decarbonisation; Energy infrastructures; Fire safety; Global climate changes; Grid scale; Grid-scale storage; Irreversible damage; Rapid transitions; Lithium-ion batteries,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85141941098

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Miranda D.; Gonçalves R.; Wuttke S.; Costa C.M.; Lanceros-Méndez S.,"Miranda, Daniel (56336441200); Gonçalves, Renato (37009149800); Wuttke, Stefan (23101650100); Costa, Carlos M. (57203755665); Lanceros-Méndez, Senentxu (57211501457)",56336441200; 37009149800; 23101650100; 57203755665; 57211501457,Overview on Theoretical Simulations of Lithium-Ion Batteries and Their Application to Battery Separators,2023,Advanced Energy Materials,13,13,2203874,,,,143,10.1002/aenm.202203874,https://www.scopus.com/pages/publications/85148293995?origin=resultslist,"For the proper design and evaluation of next-generation lithium-ion batteries, different physical-chemical scales have to be considered. Taking into account the electrochemical principles and methods that govern the different processes occurring in the battery, the present review describes the main theoretical electrochemical and thermal models that allow simulation of the performance of lithium-ion batteries, including different materials and components (electrodes and separators) and battery geometries. As the separator plays an essential role in the performance and safety of lithium-ion batteries, the recent theoretical simulation work for this battery component are shown, with particular emphasis on morphology, dendrite growth, ionic transport, and mechanical properties. Further theoretical simulations and modeling of this battery component are still required for improving performance, taking into consideration varying geometric parameters such as pore size, porosity, and tortuosity as well as the optimization of the lithium diffusion process and ionic conductivity value. Theoretical simulations of battery separators will play an essential role in the new generation of lithium-ion batteries, allowing the improvement of their performance while reducing experimental probes and time. © 2023 The Authors. Advanced Energy Materials published by Wiley-VCH GmbH.",electrochemical models; lithium-ion batteries; modeling; separators; theoretical simulation; thermal models,Ions; Pore size; Separators; Thermography (temperature measurement); Battery separators; Dendrite growth; Design and evaluations; Electrochemical modeling; Electrochemicals; Modeling; Performance; Proper design; Theoretical simulation; Thermal model; Lithium-ion batteries,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85148293995

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
